degree,mean_a,std_a,skew_a,kurtosis_a,mean_b,std_b,skew_b,kurtosis_b,hue_mean,hue_std
1,21.456924,14.086884,-0.6420979499816895,-1.1648834,7.066365,4.962359,-0.24535036087036133,-0.9901433,13.5936575,10.49378
1,14.483582,11.202049,-0.1333579123020172,-1.4093136,7.321306,8.090499,-0.6794968247413635,0.49449635,36.32682,66.92309
1,10.173563,17.062462,-0.19951266050338745,-0.34197068,10.452516,11.75046,0.33815672993659973,-1.6930363,37.432613,52.452774
1,3.5905151,5.8752327,1.5983659029006958,1.6578746,4.334575,6.2577167,0.966140866279602,-0.70684314,21.698603,36.667393
1,14.596126,9.873306,-1.7880561351776123,3.9107265,21.101257,12.992514,0.3667302429676056,-0.92059135,60.610878,36.295563
1,6.6897607,11.005252,0.37015125155448914,-0.09033179,-0.9514673,5.150211,0.07031448185443878,5.3244085,121.17457,157.21988
1,17.82696,9.912941,-0.39263755083084106,-0.3107295,26.869959,9.738697,-1.1285375356674194,2.6540914,59.438534,30.68146
1,6.12449,7.6491537,0.9654176831245422,-0.16073895,7.8791337,8.971874,0.3977692425251007,-1.6437111,25.528204,30.872921
1,13.58705,15.571112,0.5998080968856812,-1.1442051,12.501762,13.343858,0.31313011050224304,-1.6058009,22.568071,23.267433
1,9.7483425,17.219969,1.406583547592163,0.3496318,11.235871,18.887472,1.1296722888946533,-0.635648,13.341523,22.432812
1,17.30449,17.232191,0.10398025810718536,-1.9170989,17.565197,14.476059,-0.2924402356147766,-1.7812073,30.510801,27.553553
1,18.587883,16.14959,0.21225161850452423,-1.3828044,10.17147,8.099882,-0.05181800201535225,-1.3669982,20.746094,16.017912
1,11.931863,9.529672,0.22448621690273285,-0.95538616,16.744524,14.383077,-3.1737029552459717,9.216407,79.93533,64.96958
1,29.892408,14.155495,-1.0805686712265015,0.08178115,23.892729,10.78154,-1.4040961265563965,0.6417787,34.14687,18.512318
1,7.8097854,6.1103067,0.13486197590827942,-0.33598423,15.693337,6.454715,-0.9925920367240906,1.7617598,69.843185,40.39697
1,28.48143,16.196472,-1.529502272605896,1.2642274,19.64999,15.420118,-2.2982723712921143,4.754215,56.19791,62.44054
1,12.396137,17.408045,0.7717821002006531,-1.287203,10.355376,14.597421,0.82045578956604,-1.1148235,14.10216,19.585285
1,7.1365895,10.95145,1.1762830018997192,-0.02708292,6.4067845,9.442683,0.9708722233772278,-0.67212415,14.444946,20.775492
1,8.924877,17.4517,-0.9023604989051819,-0.085693836,9.316887,18.764019,-1.2628785371780396,-0.064950705,93.91406,77.17003
